Rate ($/kg),Protein Source,Protein (g per 100g),Calories (kcal per 100g)
45.5,Greek Yogurt,10,59
41.25,Chicken Breast,31,165
23.55,Greek Yogurt,10,59
21.28,Whey Protein,80,400
38.59,Beef,27,250
9.27,Peanut Butter,25,588
9.78,Eggs,13,155
48.45,Almonds,21,579
44.39,Almonds,21,579
36.46,Greek Yogurt,10,59
40.06,Greek Yogurt,10,59
25.42,Chicken Breast,31,165
46.16,Peanut Butter,25,588
47.56,Whey Protein,80,400
28.2,Peanut Butter,25,588
34.4,Salmon,25,208
12.58,Almonds,21,579
41.04,Salmon,25,208
6.61,Eggs,13,155
43.27,Lentils,9,116
21.85,Eggs,13,155
16.91,Peanut Butter,25,588
28.63,Lentils,9,116
44.6,Beef,27,250
13.34,Lentils,9,116
5.38,Greek Yogurt,10,59
49.28,Whey Protein,80,400
47.1,Whey Protein,80,400
30.44,Salmon,25,208
49.93,Chicken Breast,31,165
39.35,Tofu,8,76
36.56,Peanut Butter,25,588
8.73,Whey Protein,80,400
15.16,Chicken Breast,31,165
15.32,Lentils,9,116
20.67,Whey Protein,80,400
28.84,Eggs,13,155
28.1,Greek Yogurt,10,59
34.46,Greek Yogurt,10,59
36.2,Salmon,25,208
28.42,Beef,27,250
5.82,Peanut Butter,25,588
11.83,Greek Yogurt,10,59
31.47,Beef,27,250
43.2,Chicken Breast,31,165
16.48,Eggs,13,155
31.15,Almonds,21,579
5.26,Greek Yogurt,10,59
35.9,Whey Protein,80,400
34.29,Almonds,21,579
8.32,Almonds,21,579
17.01,Chicken Breast,31,165
47.08,Almonds,21,579
17.08,Lentils,9,116
20.48,Greek Yogurt,10,59
14.86,Eggs,13,155
17.8,Chicken Breast,31,165
21.09,Lentils,9,116
42.22,Beef,27,250
18.82,Lentils,9,116
36.34,Greek Yogurt,10,59
45.73,Greek Yogurt,10,59
16.47,Eggs,13,155
49.4,Lentils,9,116
6.1,Greek Yogurt,10,59
5.62,Chicken Breast,31,165
49.7,Tofu,8,76
49.46,Peanut Butter,25,588
9.49,Eggs,13,155
36.41,Chicken Breast,31,165
28.19,Greek Yogurt,10,59
15.17,Chicken Breast,31,165
39.32,Tofu,8,76
46.85,Lentils,9,116
49.66,Salmon,25,208
29.92,Lentils,9,116
25.01,Whey Protein,80,400
23.39,Salmon,25,208
41.4,Tofu,8,76
34.53,Whey Protein,80,400
6.03,Beef,27,250
43.3,Tofu,8,76
36.32,Peanut Butter,25,588
32.79,Eggs,13,155
33.32,Peanut Butter,25,588
20.65,Greek Yogurt,10,59
13.93,Peanut Butter,25,588
11.24,Beef,27,250
16.51,Beef,27,250
46.07,Chicken Breast,31,165
27.72,Almonds,21,579
5.91,Salmon,25,208
11.68,Whey Protein,80,400
38.91,Whey Protein,80,400
29.43,Whey Protein,80,400
31.34,Tofu,8,76
7.94,Eggs,13,155
36.76,Eggs,13,155
40.21,Beef,27,250
27.89,Almonds,21,579
23.59,Whey Protein,80,400
6.77,Peanut Butter,25,588
18.06,Almonds,21,579
45.64,Salmon,25,208
40.72,Tofu,8,76
18.45,Whey Protein,80,400
21.86,Chicken Breast,31,165
39.26,Whey Protein,80,400
35.75,Eggs,13,155
28.34,Tofu,8,76
44.89,Tofu,8,76
27.71,Lentils,9,116
17.31,Salmon,25,208
7.26,Almonds,21,579
13.46,Beef,27,250
35.61,Almonds,21,579
48.91,Eggs,13,155
21.63,Tofu,8,76
42.89,Greek Yogurt,10,59
45.18,Chicken Breast,31,165
48.56,Beef,27,250
6.07,Peanut Butter,25,588
27.85,Almonds,21,579
42.86,Salmon,25,208
16.5,Chicken Breast,31,165
20.34,Eggs,13,155
9.15,Chicken Breast,31,165
12.78,Tofu,8,76
42.19,Whey Protein,80,400
34.76,Beef,27,250
22.48,Whey Protein,80,400
20.53,Almonds,21,579
49.25,Chicken Breast,31,165
33.93,Eggs,13,155
43.36,Chicken Breast,31,165
16.1,Salmon,25,208
36.89,Eggs,13,155
16.28,Peanut Butter,25,588
26.51,Eggs,13,155
25.01,Chicken Breast,31,165
27.62,Beef,27,250
44.0,Peanut Butter,25,588
18.58,Tofu,8,76
41.01,Beef,27,250
21.32,Lentils,9,116
36.08,Lentils,9,116
47.95,Salmon,25,208
43.54,Peanut Butter,25,588
45.95,Tofu,8,76
7.18,Peanut Butter,25,588
46.08,Lentils,9,116
21.88,Chicken Breast,31,165
25.0,Tofu,8,76
44.26,Chicken Breast,31,165
19.42,Chicken Breast,31,165
36.34,Almonds,21,579
8.34,Eggs,13,155
45.26,Eggs,13,155
14.12,Greek Yogurt,10,59
38.1,Almonds,21,579
45.48,Almonds,21,579
44.77,Lentils,9,116
12.83,Greek Yogurt,10,59
11.47,Salmon,25,208
28.89,Greek Yogurt,10,59
41.99,Lentils,9,116
16.81,Beef,27,250
21.3,Greek Yogurt,10,59
13.51,Peanut Butter,25,588
21.48,Tofu,8,76
7.07,Almonds,21,579
44.03,Whey Protein,80,400
12.13,Almonds,21,579
43.82,Almonds,21,579
49.89,Peanut Butter,25,588
16.75,Salmon,25,208
11.79,Greek Yogurt,10,59
45.16,Eggs,13,155
9.1,Whey Protein,80,400
13.52,Eggs,13,155
49.22,Whey Protein,80,400
45.4,Lentils,9,116
29.22,Beef,27,250
28.91,Greek Yogurt,10,59
25.19,Greek Yogurt,10,59
48.59,Peanut Butter,25,588
19.4,Peanut Butter,25,588
42.11,Chicken Breast,31,165
40.02,Lentils,9,116
25.25,Greek Yogurt,10,59
26.63,Greek Yogurt,10,59
11.26,Greek Yogurt,10,59
5.26,Salmon,25,208
25.62,Chicken Breast,31,165
22.27,Eggs,13,155
26.52,Peanut Butter,25,588
34.0,Chicken Breast,31,165
47.01,Lentils,9,116
43.7,Eggs,13,155
24.05,Chicken Breast,31,165
31.66,Salmon,25,208
12.48,Salmon,25,208
27.48,Eggs,13,155
27.29,Beef,27,250
10.25,Salmon,25,208
18.68,Chicken Breast,31,165
34.9,Greek Yogurt,10,59
11.34,Greek Yogurt,10,59
40.73,Peanut Butter,25,588
33.39,Salmon,25,208
12.45,Whey Protein,80,400
15.61,Beef,27,250
25.25,Beef,27,250
18.95,Greek Yogurt,10,59
24.4,Salmon,25,208
26.48,Beef,27,250
17.17,Salmon,25,208
17.14,Almonds,21,579
19.99,Beef,27,250
18.39,Almonds,21,579
41.11,Salmon,25,208
19.83,Chicken Breast,31,165
42.36,Chicken Breast,31,165
39.0,Eggs,13,155
17.79,Whey Protein,80,400
16.37,Tofu,8,76
5.04,Whey Protein,80,400
31.11,Almonds,21,579
20.6,Peanut Butter,25,588
47.74,Lentils,9,116
24.02,Eggs,13,155
46.38,Lentils,9,116
19.86,Peanut Butter,25,588
42.61,Eggs,13,155
42.44,Almonds,21,579
24.92,Peanut Butter,25,588
14.0,Peanut Butter,25,588
11.28,Greek Yogurt,10,59
37.83,Eggs,13,155
5.29,Almonds,21,579
36.72,Salmon,25,208
31.05,Chicken Breast,31,165
26.62,Almonds,21,579
40.03,Eggs,13,155
25.61,Salmon,25,208
12.4,Whey Protein,80,400
38.97,Salmon,25,208
40.26,Chicken Breast,31,165
47.47,Tofu,8,76
45.87,Greek Yogurt,10,59
46.66,Greek Yogurt,10,59
34.02,Chicken Breast,31,165
18.03,Chicken Breast,31,165
28.08,Peanut Butter,25,588
29.66,Greek Yogurt,10,59
22.3,Chicken Breast,31,165
23.62,Salmon,25,208
23.53,Peanut Butter,25,588
44.61,Eggs,13,155
39.06,Chicken Breast,31,165
13.22,Lentils,9,116
36.33,Whey Protein,80,400
35.65,Beef,27,250
17.45,Lentils,9,116
44.24,Peanut Butter,25,588
35.54,Chicken Breast,31,165
37.43,Whey Protein,80,400
6.46,Salmon,25,208
18.33,Tofu,8,76
14.97,Chicken Breast,31,165
37.81,Tofu,8,76
35.07,Peanut Butter,25,588
11.64,Tofu,8,76
5.84,Beef,27,250
23.01,Peanut Butter,25,588
9.71,Almonds,21,579
32.52,Chicken Breast,31,165
6.63,Whey Protein,80,400
43.13,Whey Protein,80,400
27.98,Almonds,21,579
11.48,Chicken Breast,31,165
42.2,Beef,27,250
43.52,Almonds,21,579
25.19,Chicken Breast,31,165
12.35,Almonds,21,579
38.22,Peanut Butter,25,588
25.29,Almonds,21,579
30.93,Salmon,25,208
45.46,Beef,27,250
16.62,Beef,27,250
40.13,Salmon,25,208
34.09,Salmon,25,208
45.28,Eggs,13,155
49.33,Almonds,21,579
10.99,Greek Yogurt,10,59
19.89,Tofu,8,76
14.55,Lentils,9,116
22.87,Chicken Breast,31,165
9.44,Lentils,9,116
19.94,Tofu,8,76
48.79,Beef,27,250
37.53,Greek Yogurt,10,59
21.98,Greek Yogurt,10,59
16.46,Peanut Butter,25,588
34.63,Whey Protein,80,400
15.42,Beef,27,250
23.67,Whey Protein,80,400
20.45,Eggs,13,155
46.42,Peanut Butter,25,588
41.58,Salmon,25,208
41.87,Salmon,25,208
32.91,Greek Yogurt,10,59
39.82,Salmon,25,208
45.37,Almonds,21,579
12.69,Almonds,21,579
14.87,Whey Protein,80,400
40.95,Beef,27,250
16.99,Beef,27,250
46.54,Beef,27,250
7.58,Greek Yogurt,10,59
18.93,Lentils,9,116
15.34,Chicken Breast,31,165
12.68,Almonds,21,579
25.25,Peanut Butter,25,588
10.39,Beef,27,250
32.92,Peanut Butter,25,588
27.59,Peanut Butter,25,588
43.6,Eggs,13,155
16.7,Almonds,21,579
6.85,Lentils,9,116
8.73,Peanut Butter,25,588
29.03,Eggs,13,155
35.05,Tofu,8,76
30.25,Salmon,25,208
46.64,Whey Protein,80,400
31.44,Greek Yogurt,10,59
21.38,Almonds,21,579
24.7,Peanut Butter,25,588
30.88,Beef,27,250
12.31,Eggs,13,155
12.17,Chicken Breast,31,165
41.71,Chicken Breast,31,165
21.57,Greek Yogurt,10,59
41.27,Tofu,8,76
31.94,Beef,27,250
43.9,Peanut Butter,25,588
32.25,Tofu,8,76
40.82,Whey Protein,80,400
20.11,Salmon,25,208
37.35,Salmon,25,208
47.53,Eggs,13,155
32.14,Salmon,25,208
38.91,Beef,27,250
22.05,Chicken Breast,31,165
16.51,Salmon,25,208
41.41,Peanut Butter,25,588
30.1,Almonds,21,579
23.97,Salmon,25,208
36.02,Tofu,8,76
36.86,Chicken Breast,31,165
36.78,Lentils,9,116
47.12,Eggs,13,155
41.49,Salmon,25,208
29.86,Chicken Breast,31,165
39.96,Whey Protein,80,400
23.2,Almonds,21,579
22.41,Eggs,13,155
31.03,Chicken Breast,31,165
9.51,Almonds,21,579
31.51,Eggs,13,155
31.78,Salmon,25,208
16.19,Beef,27,250
12.79,Peanut Butter,25,588
13.36,Greek Yogurt,10,59
11.04,Whey Protein,80,400
45.42,Eggs,13,155
18.48,Lentils,9,116
6.89,Tofu,8,76
43.61,Whey Protein,80,400
15.73,Beef,27,250
11.71,Chicken Breast,31,165
41.27,Almonds,21,579
47.06,Tofu,8,76
11.89,Eggs,13,155
38.64,Peanut Butter,25,588
11.56,Chicken Breast,31,165
45.33,Beef,27,250
27.68,Beef,27,250
21.2,Chicken Breast,31,165
18.24,Eggs,13,155
39.39,Chicken Breast,31,165
23.78,Almonds,21,579
26.73,Almonds,21,579
39.01,Almonds,21,579
48.86,Eggs,13,155
15.28,Chicken Breast,31,165
20.27,Eggs,13,155
48.9,Whey Protein,80,400
42.79,Tofu,8,76
8.64,Lentils,9,116
20.98,Beef,27,250
23.75,Tofu,8,76
26.05,Whey Protein,80,400
13.91,Peanut Butter,25,588
13.75,Eggs,13,155
14.45,Eggs,13,155
41.69,Tofu,8,76
23.77,Greek Yogurt,10,59
12.47,Beef,27,250
23.9,Eggs,13,155
9.51,Eggs,13,155
24.61,Lentils,9,116
27.69,Almonds,21,579
43.48,Eggs,13,155
5.93,Tofu,8,76
28.18,Tofu,8,76
17.25,Peanut Butter,25,588
41.57,Whey Protein,80,400
23.11,Eggs,13,155
42.85,Lentils,9,116
49.97,Salmon,25,208
36.51,Greek Yogurt,10,59
49.45,Almonds,21,579
47.04,Lentils,9,116
43.72,Tofu,8,76
39.22,Chicken Breast,31,165
15.4,Greek Yogurt,10,59
11.06,Beef,27,250
33.48,Whey Protein,80,400
43.17,Salmon,25,208
34.75,Eggs,13,155
16.46,Whey Protein,80,400
26.98,Peanut Butter,25,588
33.97,Chicken Breast,31,165
40.45,Greek Yogurt,10,59
25.47,Lentils,9,116
23.7,Beef,27,250
13.56,Chicken Breast,31,165
17.62,Peanut Butter,25,588
11.01,Greek Yogurt,10,59
44.46,Almonds,21,579
29.83,Whey Protein,80,400
44.61,Lentils,9,116
47.24,Lentils,9,116
12.91,Almonds,21,579
42.19,Beef,27,250
36.23,Peanut Butter,25,588
9.86,Greek Yogurt,10,59
24.17,Beef,27,250
49.13,Greek Yogurt,10,59
36.74,Lentils,9,116
6.5,Whey Protein,80,400
35.83,Chicken Breast,31,165
11.73,Almonds,21,579
18.01,Greek Yogurt,10,59
10.07,Salmon,25,208
10.74,Salmon,25,208
44.89,Chicken Breast,31,165
20.23,Almonds,21,579
21.52,Whey Protein,80,400
19.77,Greek Yogurt,10,59
36.75,Eggs,13,155
26.84,Peanut Butter,25,588
42.66,Salmon,25,208
20.82,Peanut Butter,25,588
5.56,Peanut Butter,25,588
29.45,Greek Yogurt,10,59
9.73,Peanut Butter,25,588
31.0,Tofu,8,76
48.06,Beef,27,250
24.24,Chicken Breast,31,165
23.43,Salmon,25,208
43.7,Almonds,21,579
33.95,Peanut Butter,25,588
48.47,Almonds,21,579
34.64,Beef,27,250
31.89,Greek Yogurt,10,59
18.88,Whey Protein,80,400
31.22,Greek Yogurt,10,59
17.14,Salmon,25,208
33.95,Greek Yogurt,10,59
22.37,Tofu,8,76
31.17,Peanut Butter,25,588
48.62,Beef,27,250
22.85,Chicken Breast,31,165
12.62,Peanut Butter,25,588
15.47,Greek Yogurt,10,59
6.19,Greek Yogurt,10,59
19.0,Lentils,9,116
8.67,Tofu,8,76
25.44,Salmon,25,208
14.25,Chicken Breast,31,165
36.21,Chicken Breast,31,165
34.83,Lentils,9,116
16.52,Almonds,21,579
44.8,Greek Yogurt,10,59
6.45,Chicken Breast,31,165
14.45,Salmon,25,208
44.23,Tofu,8,76
17.1,Tofu,8,76
24.13,Lentils,9,116
42.26,Chicken Breast,31,165
16.52,Whey Protein,80,400
35.76,Whey Protein,80,400
31.68,Lentils,9,116
47.26,Chicken Breast,31,165
7.3,Salmon,25,208
45.98,Chicken Breast,31,165
31.16,Tofu,8,76
20.29,Beef,27,250
46.25,Greek Yogurt,10,59
7.97,Peanut Butter,25,588
40.67,Peanut Butter,25,588
32.71,Greek Yogurt,10,59
14.09,Tofu,8,76
7.45,Peanut Butter,25,588
26.83,Chicken Breast,31,165
49.56,Chicken Breast,31,165
32.45,Lentils,9,116
7.11,Whey Protein,80,400
14.43,Almonds,21,579
13.98,Tofu,8,76
15.98,Whey Protein,80,400
21.95,Greek Yogurt,10,59
33.37,Beef,27,250
44.69,Greek Yogurt,10,59
6.92,Whey Protein,80,400
38.47,Whey Protein,80,400
36.81,Whey Protein,80,400
36.67,Beef,27,250
47.5,Salmon,25,208
27.95,Beef,27,250
12.13,Peanut Butter,25,588
15.32,Salmon,25,208
38.55,Tofu,8,76
34.89,Eggs,13,155
23.69,Chicken Breast,31,165
42.34,Tofu,8,76
14.32,Chicken Breast,31,165
23.74,Lentils,9,116
5.22,Chicken Breast,31,165
37.14,Greek Yogurt,10,59
12.43,Greek Yogurt,10,59
26.18,Whey Protein,80,400
11.17,Eggs,13,155
17.79,Tofu,8,76
9.51,Whey Protein,80,400
38.52,Lentils,9,116
37.16,Tofu,8,76
35.35,Beef,27,250
36.34,Almonds,21,579
41.63,Eggs,13,155
16.75,Beef,27,250
27.22,Beef,27,250
10.79,Eggs,13,155
36.53,Tofu,8,76
31.22,Eggs,13,155
42.0,Lentils,9,116
13.8,Eggs,13,155
14.46,Whey Protein,80,400
33.47,Salmon,25,208
20.73,Tofu,8,76
24.97,Chicken Breast,31,165
49.56,Lentils,9,116
20.93,Tofu,8,76
30.34,Eggs,13,155
10.88,Eggs,13,155
30.9,Lentils,9,116
11.85,Almonds,21,579
21.06,Tofu,8,76
10.16,Whey Protein,80,400
32.2,Beef,27,250
30.46,Peanut Butter,25,588
23.51,Beef,27,250
19.35,Lentils,9,116
38.9,Lentils,9,116
31.41,Eggs,13,155
15.22,Salmon,25,208
19.29,Lentils,9,116
10.79,Eggs,13,155
42.48,Chicken Breast,31,165
22.09,Greek Yogurt,10,59
48.56,Peanut Butter,25,588
11.08,Eggs,13,155
16.49,Lentils,9,116
20.45,Greek Yogurt,10,59
20.11,Eggs,13,155
45.57,Greek Yogurt,10,59
8.35,Beef,27,250
23.69,Chicken Breast,31,165
15.65,Lentils,9,116
34.38,Beef,27,250
28.49,Whey Protein,80,400
41.78,Salmon,25,208
34.45,Almonds,21,579
38.12,Whey Protein,80,400
42.26,Chicken Breast,31,165
37.01,Lentils,9,116
27.98,Almonds,21,579
20.75,Tofu,8,76
12.66,Tofu,8,76
45.36,Chicken Breast,31,165
42.94,Almonds,21,579
7.93,Eggs,13,155
27.98,Salmon,25,208
30.97,Salmon,25,208
36.91,Salmon,25,208
29.69,Whey Protein,80,400
28.13,Greek Yogurt,10,59
13.9,Greek Yogurt,10,59
28.59,Whey Protein,80,400
15.05,Salmon,25,208
27.08,Whey Protein,80,400
44.69,Lentils,9,116
38.17,Lentils,9,116
21.86,Beef,27,250
11.82,Greek Yogurt,10,59
29.45,Salmon,25,208
23.87,Lentils,9,116
7.17,Chicken Breast,31,165
42.32,Peanut Butter,25,588
49.97,Salmon,25,208
31.27,Greek Yogurt,10,59
23.41,Almonds,21,579
49.77,Eggs,13,155
14.68,Tofu,8,76
30.44,Peanut Butter,25,588
14.04,Tofu,8,76
40.86,Greek Yogurt,10,59
32.19,Greek Yogurt,10,59
31.94,Almonds,21,579
32.83,Lentils,9,116
23.74,Greek Yogurt,10,59
14.81,Greek Yogurt,10,59
8.14,Eggs,13,155
36.88,Eggs,13,155
28.81,Beef,27,250
46.39,Tofu,8,76
15.18,Chicken Breast,31,165
42.5,Whey Protein,80,400
7.51,Lentils,9,116
46.77,Beef,27,250
44.35,Peanut Butter,25,588
16.62,Tofu,8,76
40.58,Whey Protein,80,400
14.82,Chicken Breast,31,165
32.27,Tofu,8,76
34.73,Eggs,13,155
14.29,Chicken Breast,31,165
6.96,Chicken Breast,31,165
37.86,Chicken Breast,31,165
13.49,Lentils,9,116
26.53,Tofu,8,76
24.93,Lentils,9,116
36.96,Salmon,25,208
14.41,Beef,27,250
9.92,Greek Yogurt,10,59
22.8,Beef,27,250
5.59,Salmon,25,208
8.5,Almonds,21,579
12.84,Eggs,13,155
28.19,Tofu,8,76
16.59,Tofu,8,76
18.27,Beef,27,250
38.37,Almonds,21,579
9.09,Eggs,13,155
11.99,Peanut Butter,25,588
18.85,Chicken Breast,31,165
7.03,Lentils,9,116
43.87,Beef,27,250
13.98,Whey Protein,80,400
5.89,Beef,27,250
21.73,Almonds,21,579
18.2,Whey Protein,80,400
27.62,Eggs,13,155
20.96,Eggs,13,155
9.2,Beef,27,250
47.15,Eggs,13,155
44.67,Greek Yogurt,10,59
27.16,Tofu,8,76
8.6,Whey Protein,80,400
10.95,Beef,27,250
49.51,Almonds,21,579
23.99,Salmon,25,208
47.33,Salmon,25,208
27.0,Lentils,9,116
19.62,Chicken Breast,31,165
34.04,Lentils,9,116
10.08,Salmon,25,208
15.44,Eggs,13,155
38.09,Almonds,21,579
15.28,Greek Yogurt,10,59
38.49,Lentils,9,116
36.21,Whey Protein,80,400
17.62,Tofu,8,76
20.06,Salmon,25,208
30.66,Salmon,25,208
22.62,Beef,27,250
31.17,Chicken Breast,31,165
24.53,Tofu,8,76
28.63,Tofu,8,76
18.79,Beef,27,250
31.19,Tofu,8,76
48.65,Salmon,25,208
46.23,Peanut Butter,25,588
41.32,Almonds,21,579
18.01,Whey Protein,80,400
5.41,Beef,27,250
47.27,Whey Protein,80,400
29.14,Greek Yogurt,10,59
18.83,Beef,27,250
36.72,Tofu,8,76
17.11,Peanut Butter,25,588
44.62,Lentils,9,116
34.06,Chicken Breast,31,165
18.72,Greek Yogurt,10,59
26.81,Eggs,13,155
30.14,Tofu,8,76
35.04,Salmon,25,208
29.74,Greek Yogurt,10,59
5.96,Tofu,8,76
24.66,Almonds,21,579
45.31,Lentils,9,116
7.43,Beef,27,250
43.57,Salmon,25,208
16.55,Eggs,13,155
42.45,Almonds,21,579
11.14,Almonds,21,579
23.42,Eggs,13,155
17.37,Greek Yogurt,10,59
37.14,Chicken Breast,31,165
39.01,Tofu,8,76
48.3,Almonds,21,579
21.9,Whey Protein,80,400
15.75,Lentils,9,116
25.51,Beef,27,250
34.87,Beef,27,250
20.61,Salmon,25,208
37.42,Lentils,9,116
12.5,Chicken Breast,31,165
36.52,Tofu,8,76
6.67,Peanut Butter,25,588
40.68,Greek Yogurt,10,59
16.76,Peanut Butter,25,588
20.96,Whey Protein,80,400
22.49,Almonds,21,579
18.93,Beef,27,250
13.13,Whey Protein,80,400
43.4,Greek Yogurt,10,59
5.92,Whey Protein,80,400
22.56,Eggs,13,155
7.96,Whey Protein,80,400
12.3,Peanut Butter,25,588
36.07,Peanut Butter,25,588
17.93,Peanut Butter,25,588
34.78,Eggs,13,155
26.61,Peanut Butter,25,588
40.68,Chicken Breast,31,165
35.16,Peanut Butter,25,588
48.24,Greek Yogurt,10,59
16.24,Almonds,21,579
11.69,Whey Protein,80,400
8.59,Tofu,8,76
37.92,Greek Yogurt,10,59
6.91,Whey Protein,80,400
36.77,Beef,27,250
22.24,Chicken Breast,31,165
39.15,Salmon,25,208
20.76,Peanut Butter,25,588
37.98,Eggs,13,155
34.62,Eggs,13,155
29.72,Greek Yogurt,10,59
32.63,Chicken Breast,31,165
40.36,Eggs,13,155
38.23,Salmon,25,208
13.2,Greek Yogurt,10,59
33.85,Tofu,8,76
35.04,Chicken Breast,31,165
42.8,Beef,27,250
38.57,Peanut Butter,25,588
27.43,Eggs,13,155
28.32,Peanut Butter,25,588
41.58,Whey Protein,80,400
13.2,Salmon,25,208
20.62,Tofu,8,76
7.06,Peanut Butter,25,588
14.71,Peanut Butter,25,588
12.47,Eggs,13,155
30.23,Whey Protein,80,400
34.71,Lentils,9,116
39.24,Salmon,25,208
17.47,Whey Protein,80,400
39.13,Whey Protein,80,400
48.78,Greek Yogurt,10,59
20.87,Eggs,13,155
24.59,Beef,27,250
23.64,Almonds,21,579
38.3,Beef,27,250
36.03,Chicken Breast,31,165
27.19,Beef,27,250
14.25,Eggs,13,155
9.17,Whey Protein,80,400
30.53,Chicken Breast,31,165
27.8,Lentils,9,116
21.59,Peanut Butter,25,588
8.17,Eggs,13,155
7.38,Whey Protein,80,400
24.29,Chicken Breast,31,165
36.12,Lentils,9,116
22.34,Chicken Breast,31,165
31.35,Greek Yogurt,10,59
39.7,Whey Protein,80,400
39.61,Peanut Butter,25,588
31.93,Salmon,25,208
22.36,Beef,27,250
20.13,Lentils,9,116
15.53,Salmon,25,208
7.26,Whey Protein,80,400
43.37,Salmon,25,208
12.11,Lentils,9,116
19.46,Beef,27,250
8.74,Lentils,9,116
32.5,Greek Yogurt,10,59
25.57,Peanut Butter,25,588
19.68,Almonds,21,579
48.18,Eggs,13,155
30.41,Whey Protein,80,400
31.1,Whey Protein,80,400
34.54,Beef,27,250
28.68,Eggs,13,155
23.31,Eggs,13,155
41.23,Salmon,25,208
6.24,Greek Yogurt,10,59
26.9,Salmon,25,208
10.61,Tofu,8,76
41.17,Lentils,9,116
18.59,Peanut Butter,25,588
6.66,Whey Protein,80,400
32.53,Whey Protein,80,400
33.66,Eggs,13,155
36.99,Salmon,25,208
30.11,Tofu,8,76
43.77,Whey Protein,80,400
43.23,Tofu,8,76
46.33,Peanut Butter,25,588
8.31,Lentils,9,116
23.87,Lentils,9,116
28.08,Chicken Breast,31,165
26.54,Peanut Butter,25,588
43.03,Chicken Breast,31,165
14.69,Lentils,9,116
46.49,Chicken Breast,31,165
49.11,Almonds,21,579
7.56,Tofu,8,76
11.0,Tofu,8,76
42.47,Greek Yogurt,10,59
7.35,Beef,27,250
17.57,Greek Yogurt,10,59
32.83,Peanut Butter,25,588
36.82,Lentils,9,116
48.22,Greek Yogurt,10,59
33.15,Tofu,8,76
48.72,Tofu,8,76
49.18,Salmon,25,208
25.52,Chicken Breast,31,165
12.04,Greek Yogurt,10,59
35.57,Almonds,21,579
14.24,Lentils,9,116
35.28,Greek Yogurt,10,59
27.32,Eggs,13,155
18.58,Tofu,8,76
45.72,Tofu,8,76
21.55,Lentils,9,116
16.48,Salmon,25,208
46.27,Beef,27,250
5.96,Tofu,8,76
38.32,Beef,27,250
40.67,Almonds,21,579
6.39,Greek Yogurt,10,59
41.69,Beef,27,250
31.14,Eggs,13,155
32.64,Whey Protein,80,400
5.92,Beef,27,250
28.3,Peanut Butter,25,588
10.97,Tofu,8,76
8.48,Whey Protein,80,400
29.2,Beef,27,250
41.11,Peanut Butter,25,588
49.72,Almonds,21,579
5.67,Peanut Butter,25,588
25.48,Almonds,21,579
16.87,Salmon,25,208
27.98,Greek Yogurt,10,59
15.71,Beef,27,250
7.5,Peanut Butter,25,588
40.94,Beef,27,250
7.37,Chicken Breast,31,165
22.86,Whey Protein,80,400
6.45,Salmon,25,208
34.95,Eggs,13,155
25.39,Beef,27,250
21.25,Salmon,25,208
48.99,Chicken Breast,31,165
32.9,Tofu,8,76
13.17,Whey Protein,80,400
22.94,Almonds,21,579
42.8,Tofu,8,76
13.13,Tofu,8,76
30.03,Eggs,13,155
35.63,Beef,27,250
17.04,Whey Protein,80,400
23.35,Almonds,21,579
45.01,Whey Protein,80,400
40.83,Peanut Butter,25,588
5.5,Almonds,21,579
16.12,Greek Yogurt,10,59
25.41,Chicken Breast,31,165
9.51,Almonds,21,579
46.24,Chicken Breast,31,165
27.24,Eggs,13,155
23.98,Peanut Butter,25,588
8.97,Greek Yogurt,10,59
44.03,Tofu,8,76
13.15,Peanut Butter,25,588
47.83,Whey Protein,80,400
46.5,Almonds,21,579
23.76,Greek Yogurt,10,59
49.95,Lentils,9,116
15.97,Eggs,13,155
20.76,Whey Protein,80,400
31.19,Almonds,21,579
42.43,Lentils,9,116
44.84,Greek Yogurt,10,59
22.5,Greek Yogurt,10,59
46.98,Greek Yogurt,10,59
41.79,Lentils,9,116
41.75,Eggs,13,155
15.9,Almonds,21,579
13.69,Lentils,9,116
39.09,Greek Yogurt,10,59
22.33,Greek Yogurt,10,59
30.36,Lentils,9,116
5.78,Salmon,25,208
37.69,Beef,27,250
47.42,Beef,27,250
40.42,Greek Yogurt,10,59
47.15,Lentils,9,116
13.89,Lentils,9,116
6.85,Whey Protein,80,400
45.56,Salmon,25,208
18.69,Chicken Breast,31,165
13.16,Peanut Butter,25,588
7.21,Lentils,9,116
36.24,Chicken Breast,31,165
45.54,Lentils,9,116
34.46,Greek Yogurt,10,59
20.66,Lentils,9,116
23.5,Lentils,9,116
39.78,Almonds,21,579
7.58,Peanut Butter,25,588
40.64,Beef,27,250
20.12,Chicken Breast,31,165
33.19,Beef,27,250
18.57,Tofu,8,76
42.3,Whey Protein,80,400
16.56,Lentils,9,116
7.77,Salmon,25,208
22.91,Beef,27,250
40.91,Greek Yogurt,10,59
24.4,Almonds,21,579
15.41,Salmon,25,208
5.83,Greek Yogurt,10,59
12.86,Greek Yogurt,10,59
9.75,Peanut Butter,25,588
37.17,Salmon,25,208
42.69,Eggs,13,155
32.46,Whey Protein,80,400
8.3,Beef,27,250
36.58,Lentils,9,116
10.57,Chicken Breast,31,165
15.87,Chicken Breast,31,165
31.64,Salmon,25,208
42.81,Peanut Butter,25,588
11.52,Lentils,9,116
